,cow_id,breed_event_id,first_recheck_DSLB,resolution_DSLB,days_to_resolution,samples_to_resolution,final_status
391,14852.0401430.0,14852.0401430.0_2023_2_2,43,43,0,2,rc_open
392,14864.0401430.0,14864.0401430.0_2025_1_3,37,37,0,2,rc_open
393,14875.0401430.0,14875.0401430.0_2025_1_3,40,40,0,4,rc_preg
394,14891.0401430.0,14891.0401430.0_2023_1_1,35,35,0,2,rc_open
395,14906.0401430.0,14906.0401430.0_2025_2_2,35,35,0,2,rc_open
396,14921.0401430.0,14921.0401430.0_2023_5_3,35,35,0,2,rc_open
397,14924.0401430.0,14924.0401430.0_2023_8_2,38,38,0,3,rc_preg
398,14928.0401430.0,14928.0401430.0_2025_1_2,36,36,0,1,rc_open
399,14960.0401430.0,14960.0401430.0_2023_4_2,39,39,0,7,rc_preg
400,14962.0401430.0,14962.0401430.0_2023_10_2,36,36,0,3,rc_open
401,14981.0401430.0,14981.0401430.0_2022_12_1,36,36,0,2,rc_open
402,15000.0401430.0,15000.0401430.0_2023_3_1,40,40,0,3,rc_open
403,15006.0401430.0,15006.0401430.0_2023_3_1,36,36,0,2,rc_open
404,15006.0401430.0,15006.0401430.0_2023_5_2,36,36,0,3,rc_loss
405,15014.0401430.0,15014.0401430.0_2023_2_1,36,36,0,1,rc_open
406,15020.0401430.0,15020.0401430.0_2022_12_1,35,35,0,2,rc_open
407,15020.0401430.0,15020.0401430.0_2025_2_3,37,37,0,6,rc_loss
408,1504.0392159.0,1504.0392159.0_2022_11_2,29,29,0,2,rc_open
409,1504.0392159.0,1504.0392159.0_2022_12_3,29,29,0,1,rc_open
410,1504.0392159.0,1504.0392159.0_2025_4_6,50,50,0,2,rc_open
411,15049.0401430.0,15049.0401430.0_2023_2_1,36,36,0,3,rc_open
412,15051.0401430.0,15051.0401430.0_2022_12_1,36,36,0,2,rc_open
413,15056.0401430.0,15056.0401430.0_2022_12_1,36,36,0,2,rc_open
414,15058.0401430.0,15058.0401430.0_2023_1_2,37,37,0,1,rc_open
415,15083.0401430.0,15083.0401430.0_2024_12_2,35,35,0,2,rc_open
416,1509.0392159.0,1509.0392159.0_2023_5_5,32,32,0,1,rc_open
417,1509.0392159.0,1509.0392159.0_2024_8_7,43,43,0,2,rc_open
